ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR
41,5,Chamartín,http://www.wikidata.org/entity/Q1766348,56,Castilla,http://www.wikidata.org/entity/Q3813735,CALLE HIEDRA,36,APARCAMIENTO,1,CHAdeMO,3,EMT
41,,,,,,,,,,,Dual_Mennekes,,
42,1,Centro,http://www.wikidata.org/entity/Q1763376,11,Palacio,http://www.wikidata.org/entity/Q2136510,PLAZA DE LA CEBADA,S/N,APARCAMIENTO,1,CHAdeMO,2,DRIVE THE CITY
43,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE ALBERTO AGUILERA,9,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,REPSOL
44,3,Retiro,http://www.wikidata.org/entity/Q2002296,32,Adelfas,http://www.wikidata.org/entity/Q3774001,PLAZA DEL CONDE DE CASAL,6,APARCAMIENTO,2,CHAdeMO,2,DRIVE THE CITY
45,8,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,88,El Goloso,http://www.wikidata.org/entity/Q10271137,CALLE DEL MONASTERIO DE ARLANZA,20,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
46,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,163,Canillas,http://www.wikidata.org/entity/Q9694341,AVENIDA DE MACHUPICHU,105,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,GIC
47,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,166,Valdefuentes,http://www.wikidata.org/entity/Q10388714,AVENIDA DE NICETO ALCALA ZAMORA,20,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,GIC-GALP
48,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,181,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,AVENIDA EJE CENTRAL,7,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,NATURGY
48,,,,,,,,,,,Dual_Mennekes,,
49,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,181,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,CARRETERA DE VILLAVERDE A VALLECAS,278,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,REPSOL
50,21,Barajas,http://www.wikidata.org/entity/Q807230,215,Corralejos,http://www.wikidata.org/entity/Q10260772,AVENIDA DEL CONSEJO DE EUROPA,2,ESTACIÓN DE SERVICIO,4,Other,1,GIC-CEPSA
51,21,Barajas,http://www.wikidata.org/entity/Q807230,215,Corralejos,http://www.wikidata.org/entity/Q10260772,AVENIDA DEL PARTENÓN,5,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
52,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,181,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,AVENIDA DE LEGAZPI,S/N,MERCAMADRID,2,CHAdeMO,3,DRIVE THE CITY
52,,,,,,,,,,,Dual_Mennekes,,
53,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,181,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,AVDA LEGAZPI,S/N,MERCAMADRID,1,CHAdeMO,3,DRIVE THE CITY
53,,,,,,,,,,,Dual_Mennekes,,
54,18,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,181,Casco Histórico de Vallecas,http://www.wikidata.org/entity/Q16544370,CALLE 3,S/N,MERCAMADRID,1,CHAdeMO,3,GIC
54,,,,,,,,,,,Dual_Mennekes,,
55,3,Retiro,http://www.wikidata.org/entity/Q2002296,34,Ibiza,http://www.wikidata.org/entity/Q15249910,CALLE IBIZA,1,VÍA PÚBLICA,1,CHAdeMO,3,REPSOL
55,,,,,,,,,,,Dual_Mennekes,,
56,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,PLAZA DE LA LEALTAD,S/N,VÍA PÚBLICA,1,CHAdeMO,3,GIC
56,,,,,,,,,,,Dual_Mennekes,,
57,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,116,Buenavista,http://www.wikidata.org/entity/Q953929,CALLE HILARIO HERRANZ ESTABLOS,20,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,ENDESA
57,,,,,,,,,,,Dual_Mennekes,,
58,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874,CALLE MARQUÉS DE URQUIJO,27,APARCAMIENTO,1,CHAdeMO,3,ENDESA
58,,,,,,,,,,,Dual_Mennekes,,
59,17,Villaverde,http://www.wikidata.org/entity/Q919536,171,"Villaverde Alto, Casco Histórico de Villaverde",http://www.wikidata.org/entity/Q390435,CALLE VALLE DE TOBALINA,24,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,IBERDROLA
59,,,,,,,,,,,Dual_Mennekes,,
60,6,Tetuán,http://www.wikidata.org/entity/Q1773540,62,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,CALLE BRAVO MURILLO,122,APARCAMIENTO,2,CHAdeMO,3,DRIVE THE CITY
60,,,,,,,,,,,Dual_Mennekes,,
61,12,Usera,http://www.wikidata.org/entity/Q953368,122,Orcasur,http://www.wikidata.org/entity/Q10341270,CALLE DE EDUARDO BARREIROS,2,APARCAMIENTO,1,CHAdeMO,3,ENDESA
61,,,,,,,,,,,Dual_Mennekes,,
62,12,Usera,http://www.wikidata.org/entity/Q953368,122,Orcasur,http://www.wikidata.org/entity/Q10341270,CARRETERA A-4. P.K. 6.70 D,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
62,,,,,,,,,,,Dual_Mennekes,,
