Quarter,Geographical region,Country of nationality,Total applications,Applications received from ports,Applications received in-country,Total initial decisions,Total grants,Grants of asylum,Grants of HP,Grants of DL,Grants of ELR,Total refusals,Certified refusals,Other refusals,3rd country refusals,Non-comp refusals,Total withdrawals,Non-substantiated withdrawals,Fresh claims,Total pending,Total pending initial decision,Pending initial decision for less than or equal to 6 months,Pending initial decision for more than 6 months,Pending further review
2001 Q1,Africa,Algeria,339,57,282,"1,281",62,37,:,:,25,"1,219",411,571,4,233,34,:,..,..,..,..,..,..
2001 Q1,Oceania,American Samoa,0,0,0,1,1,1,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Andorra,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Africa,Angola,258,42,216,378,133,22,:,:,111,245,49,128,1,67,2,:,..,..,..,..,..,..
2001 Q1,Americas,Anguilla (British),0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,Antigua and Barbuda,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Americas,Argentina,1,0,1,1,0,0,:,:,0,1,1,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Armenia,17,5,12,58,8,6,:,:,2,50,13,27,0,10,5,:,..,..,..,..,..,..
2001 Q1,Americas,Aruba,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Oceania,Australia,0,0,0,1,0,0,:,:,0,1,1,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Austria,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Azerbaijan,19,2,17,50,11,8,:,:,3,39,7,20,0,12,0,:,..,..,..,..,..,..
2001 Q1,Americas,"Bahamas, The",0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Middle East,Bahrain,0,0,0,1,1,0,:,:,1,0,0,0,0,0,1,:,..,..,..,..,..,..
2001 Q1,Asia,Bangladesh,142,36,106,440,13,4,:,:,9,427,122,193,11,101,7,:,..,..,..,..,..,..
2001 Q1,Americas,Barbados,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Europe,Belarus,16,3,13,276,4,1,:,:,3,272,27,94,0,151,9,:,..,..,..,..,..,..
2001 Q1,Europe,Belgium,1,0,1,0,0,0,:,:,0,0,0,0,0,0,1,:,..,..,..,..,..,..
2001 Q1,Americas,Belize,0,0,0,0,0,0,:,:,0,0,0,0,0,0,0,:,..,..,..,..,..,..
2001 Q1,Africa,Benin,1,0,1,5,1,0,:,:,1,4,0,0,0,4,1,:,..,..,..,..,..,..
2001 Q1,Americas,Bermuda (British),0,0,0,1,0,0,:,:,0,1,0,0,0,1,0,:,..,..,..,..,..,..
2001 Q1,Asia,Bhutan,6,0,6,38,13,8,:,:,5,25,2,13,0,10,0,:,..,..,..,..,..,..
2001 Q1,Americas,Bolivia,10,4,6,19,0,0,:,:,0,19,4,12,0,3,1,:,..,..,..,..,..,..
2001 Q1,Americas,"Bonaire, Sint Eustatius and Saba",:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
